Plot,TrtPeg,Gcvr,Epi,EpiRich,Dsln,DslnFlip,Sed,Nrsy,NrsyRich,Dcmp,Infa.sr,InfaRich.sr,Rays.sr,RaysFlip.sr,Wfwl.sr
1,225,47.02222222,261.2,7.509980921,8.768125,5.749375,-0.153469514,6.04,1.696843122,0.950277118,19.23947488,3.056207933,0.126666667,0.486666667,0.071111111
2,0,0.488888889,0,0,10.091875,4.425625,-0.101124458,0.555,1.234067725,1.172133749,30.55681304,3.056207933,0.533333333,0.08,0.026666667
3,400,48.88888889,338.8,7.756209804,7.576041667,6.941458333,-0.18820964,5.695,1.851101588,1.248196572,46.40108646,3.056207933,0.106666667,0.506666667,0.071111111
4,100,23.95555556,359.2,6.648179832,7.880416667,6.637083333,-0.4027921,3.91,1.696843122,0.923980907,13.58080579,2.037471955,0.26,0.353333333,0.106666667
5,9,6.577777778,238.8,6.155722067,8.455833333,6.061666667,-0.264432364,1.155,1.234067725,1.127174709,20.37120869,3.056207933,0.446666667,0.166666667,0
6,36,13.84444444,372,7.017523156,8.182916667,6.334583333,-0.389533518,5.26,1.311196958,1.058176445,31.68854685,3.056207933,0.28,0.333333333,0
7,100,25.68888889,314,6.648179832,8.252083333,6.265416667,-0.216524403,6.685,1.928230821,1.164784048,29.42507922,3.056207933,0.223333333,0.39,0.053333333
8,0,0.177777778,0.8,0.246228883,9.488125,5.029375,-0.187500671,1.405,1.388326191,1.063914119,12.44907198,3.056207933,0.465,0.148333333,0.017777778
9,9,6.288888889,205.6,6.648179832,8.119166667,6.398333333,-0.434583226,1.38,1.156938493,1.283327623,15.84427343,3.056207933,0.52,0.093333333,0
10,225,44.62222222,226.4,7.509980921,7.9275,6.59,0.15471614,11.325,1.851101588,0.875273885,10.18560435,3.056207933,0.321666667,0.291666667,0.168888889
11,36,16.4,310.4,6.771294273,8.468125,6.049375,-0.022867701,3.725,1.311196958,1.241317856,16.97600724,3.056207933,0.571666667,0.041666667,0.151111111
12,400,52.84444444,295.2,6.401950949,8.526666667,5.990833333,1.016394,2.23,1.542584657,0.821749422,15.84427343,3.056207933,0.43,0.183333333,0.106666667
13,9,4.711111111,241.6,6.155722067,9.079375,5.438125,-0.316915164,1.135,1.156938493,1.157944441,10.18560435,4.07494391,0.575,0.038333333,0
14,36,12.88888889,247.2,5.786378743,10.24375,4.27375,-0.303147905,3.105,1.388326191,1.240261903,7.922136713,4.07494391,0.381666667,0.231666667,0.033333333
15,100,34.88888889,257.6,5.170806536,8.219583333,6.297916667,-0.140764701,3.21,1.542584657,1.209748476,7.922136713,2.037471955,0.376666667,0.236666667,0.04
16,0,0,1.6,0.369343324,9.665,4.8525,0.118205719,1.01,1.002680027,1.014330269,15.84427343,3.056207933,0.466666667,0.146666667,0.12
17,400,59.82222222,291.2,6.648179832,9.231875,5.285625,0.202536039,4.695,1.61971389,1.062447747,21.50294251,2.037471955,0.281666667,0.331666667,0.093333333
18,225,50.66666667,340,6.976485009,7.755625,6.761875,-0.170744354,4.68,2.027396978,1.160624567,22.63467632,3.056207933,0.275,0.338333333,0.08
19,400,60.04444444,226.4,6.771294273,8.208888889,6.308611111,0.102404316,5.685714286,1.762953893,1.1107228,21.50294251,3.056207933,0.308333333,0.305,0.186666667
20,100,34.17777778,325.2,6.648179832,9.486666667,5.030833333,0.546648356,2.702857143,1.674806199,1.370524897,15.84427343,3.056207933,0.475,0.138333333,0.406666667
21,9,10.84444444,204.8,6.278836508,8.03,6.4875,0.280336263,0.988571429,1.145920031,1.096000395,15.84427343,2.037471955,0.581666667,0.031666667,0.2
22,36,16.73333333,280,7.38686648,8.7925,5.725,0.498727639,0.908571429,1.32221542,0.941796786,14.71253961,3.056207933,0.53,0.083333333,0.2
23,0,0.088888889,0,0,9.493333333,5.024166667,0.449781178,0.565714286,0.969624641,0.917918373,22.63467632,3.056207933,0.613333333,0,0.3
24,225,45.37777778,162.4,5.909493184,8.235416667,6.282083333,0.448763826,1.177142857,1.32221542,0.818045676,20.37120869,4.07494391,0.368333333,0.245,0.433333333
25,225,47.15555556,116.8888889,5.061371477,7.547916667,6.969583333,0.310041437,2.657142857,1.674806199,0.910584177,24.89814396,2.037471955,0.296666667,0.316666667,0.353333333
26,9,9.644444444,209,6.155722067,8.5025,6.015,-0.011254091,0.771428571,1.32221542,0.984480465,9.05387053,2.037471955,0.39,0.223333333,0.066666667
27,0,0.044444444,0.444444444,0.136793824,8.494375,6.023125,0.119605305,0.2,0.881476947,1.125076999,10.18560435,3.056207933,0.465,0.148333333,0.02
28,36,10.35555556,267.2,5.293920977,7.884583333,6.632916667,0.494439364,0.988571429,1.762953893,1.17528912,4.526935265,2.037471955,0.416666667,0.196666667,0.06
29,400,46.21818182,321.2,5.54014986,7.756666667,6.760833333,0.09134414,2.365714286,1.762953893,1.111018452,6.790402897,2.037471955,0.185,0.428333333,0.226666667
30,100,22.8,152.8,4.555234329,6.9125,7.605,-0.045927527,1.108571429,1.498510809,1.315249025,13.58080579,3.056207933,0.215,0.398333333,0.226666667
31,0,0,0.8,0.246228883,8.364375,6.153125,-0.024252517,0.182857143,0.881476947,1.146400262,13.58080579,2.037471955,0.483333333,0.13,0.24
32,36,13.51111111,263.5555556,6.429309714,6.832777778,7.684722222,0.000954467,0.868571429,1.32221542,1.263928998,15.84427343,3.056207933,0.423333333,0.19,0.26
33,400,35.37777778,185.6,5.293920977,7.738958333,6.778541667,-0.194797474,1.628571429,1.762953893,1.095332362,12.44907198,3.056207933,0.138333333,0.475,0.253333333
34,9,5.688888889,309.2,4.924577653,8.659791667,5.857708333,-0.085775783,0.434285714,1.762953893,1.220317653,13.58080579,3.056207933,0.406666667,0.206666667,0.12
35,225,45.38181818,246,6.032607625,8.124583333,6.392916667,-0.062441255,2.462857143,2.027396978,1.115746417,24.89814396,3.056207933,0.128333333,0.485,0.18
36,100,23.23636364,194.4,5.909493184,8.255625,6.261875,-0.03461167,2.771428571,2.115544672,1.325673238,18.10774106,3.056207933,0.218333333,0.395,0.093333333
37,100,41.6,250,6.032607625,9.083125,5.434375,0.038700882,4.59,1.465455424,1.058186022,12.44907198,3.056207933,0.453333333,0.16,0.053333333
38,9,10.22222222,236,5.417035419,9.9825,4.535,0.084061772,1.855,1.773972355,1.197455166,14.71253961,3.056207933,0.413333333,0.2,0.044444444
39,36,25.26666667,121.3333333,5.608546772,8.601388889,5.916111111,0.135971667,2.85,1.465455424,1.319071836,11.31733816,3.056207933,0.38,0.233333333,0.035555556
40,400,71.6,207.2,4.924577653,8.823958333,5.693541667,0.333853646,5.995,1.696843122,1.083593573,5.658669081,3.056207933,0.28,0.333333333,0.053333333
41,0,0,0,0,9.55,4.9675,0.240603147,0.235,0.771292328,1.364505078,19.23947488,3.056207933,0.466666667,0.146666667,0.08
42,225,61.51111111,178.4,5.663264301,7.179791667,7.337708333,0.132558414,4.295,1.542584657,1.329117962,12.44907198,3.056207933,0.213333333,0.4,0.044444444
43,9,11.31111111,243.5555556,6.018928243,9.13375,5.38375,0.075535576,1.48,1.234067725,1.098734335,4.526935265,3.056207933,0.4,0.213333333,0
44,0,0,0.4,0.123114441,10.07875,4.43875,0.445172883,0.44,0.925550794,1.03435736,7.922136713,1.018735978,0.34,0.273333333,0
45,225,58.97777778,176.4444444,6.29251589,8.092916667,6.424583333,0.281496281,6.18,1.928230821,1.218012022,12.44907198,2.037471955,0.213333333,0.4,0.053333333
46,400,69.82222222,211.2,5.786378743,7.861041667,6.656458333,0.139835859,4.975,1.696843122,1.255232765,6.790402897,1.018735978,0.113333333,0.5,0.026666667
47,36,25.97777778,197.6,5.663264301,7.469375,7.048125,0.143145049,3.46,1.388326191,1.324037951,20.37120869,2.037471955,0.34,0.273333333,0.142222222
48,100,47.77777778,222.8,6.771294273,8.429375,6.088125,0.105314824,3.025,1.61971389,1.254664345,12.44907198,2.037471955,0.2,0.413333333,0.151111111
